"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1182","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium_X"
"ASV_7833","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Vitellibacter","Vitellibacter_X"
"ASV_1014","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_[Subgroup_1]","Acidobacteriaceae_[Subgroup_1]_X","Acidobacteriaceae_[Subgroup_1]_X_X"
"ASV_631","Bacteria","Chloroflexi","JG37-AG-4","JG37-AG-4_X","JG37-AG-4_X_X","JG37-AG-4_X_X_X","JG37-AG-4_X_X_X_X"
"ASV_775","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonosporaceae_X","Micromonosporaceae_X_X"
"ASV_1300","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Galbibacter","Galbibacter_X"
"ASV_5975","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium","Chryseobacterium_X"
"ASV_1110","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonosporaceae_X","Micromonosporaceae_X_X"
"ASV_831","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonosporaceae_X","Micromonosporaceae_X_X"
"ASV_5744","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_pumilus"
"ASV_3780","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","Acidothermus_X"
"ASV_1590","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","Acidothermus_X"
"ASV_4319","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_[Subgroup_1]","Acidobacteriaceae_[Subgroup_1]_X","Acidobacteriaceae_[Subgroup_1]_X_X"
"ASV_2341","Bacteria","WD272","WD272_X","WD272_X_X","WD272_X_X_X","WD272_X_X_X_X","WD272_X_X_X_X_X"
"ASV_834","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","Acidothermus_X"
"ASV_8247","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","DA111","DA111_X","DA111_X_X"
"ASV_1768","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","Acidothermus_X"
"ASV_5873","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","JG30a-KF-32","JG30a-KF-32_X","JG30a-KF-32_X_X"
